YEAR,MONTH,STORE_ID,CUS_CUST_ID,STORE_STAGE_LIFECYCLE,STORE_STAGE_LIFECYCLE_PREV_MONTH,SEGMENTO,STATUS,NEIGHBOURHOOD,LONGITUDE,LATITUDE,LOCATION,CITY,AUD_INS_DTTM,AUD_UPD_DTTM
2022,8,47960055,1142367260,New,,LH,active,NUÑEZ,-58.46410359999999,-34.5560341,"-34.5560341, -58.46410359999999",CABA,2025-09-23,2025-09-23
2022,8,48074590,1009224102,Retained,New,LH,active,PALERMO,-58.42880830000001,-34.5868501,"-34.5868501, -58.42880830000001",CABA,2025-09-23,2025-09-23
2022,8,48075274,516487806,Retained,New,LH,active,BELGRANO,-58.4555678,-34.5653897,"-34.5653897, -58.4555678",CABA,2025-09-23,2025-09-23
2022,8,48075280,569148290,Retained,New,LH,active,BELGRANO,-58.461586,-34.5593514,"-34.5593514, -58.461586",CABA,2025-09-23,2025-09-23
2022,8,48140632,473561584,Retained,New,,,BELGRANO,,,,CABA,2025-09-23,2025-09-23
2022,8,48143923,1160323895,Retained,New,CA,active,NUÑEZ,-58.4576251,-34.5527125,"-34.5527125, -58.4576251",CABA,2025-09-23,2025-09-23
2022,8,48158647,1137597234,Retained,New,LH,,BELGRANO,,,,CABA,2025-09-23,2025-09-23
2022,8,48179317,307804100,Retained,New,LH,active,SAAVEDRA,-58.474276481597315,-34.54140210226721,"-34.54140210226721, -58.474276481597315",CABA,2025-09-23,2025-09-23
2022,8,48300275,453242665,New,,CA,active,VILLA URQUIZA,-58.4891306,-34.5679451,"-34.5679451, -58.4891306",CABA,2025-09-23,2025-09-23
2022,8,48316085,480186788,New,,CA,active,NUÑEZ,-58.464077593254096,-34.5536740909455,"-34.5536740909455, -58.464077593254096",CABA,2025-09-23,2025-09-23
2022,8,48418694,373736522,New,,CA,,SAAVEDRA,,,,CABA,2025-09-23,2025-09-23
2022,8,48426359,1171811183,New,,LH,active,PALERMO,-58.43947069999999,-34.5833638,"-34.5833638, -58.43947069999999",CABA,2025-09-23,2025-09-23
2022,8,48468881,726022974,New,,CA,active,SAAVEDRA,-58.47546679999999,-34.5494602,"-34.5494602, -58.47546679999999",CABA,2025-09-23,2025-09-23
2022,8,48482546,107871797,New,,LT,active,VILLA CRESPO,-58.44134789999999,-34.6012851,"-34.6012851, -58.44134789999999",CABA,2025-09-23,2025-09-23
2022,8,48532640,260942730,New,,LH,active,BELGRANO,-58.4550967,-34.5676018,"-34.5676018, -58.4550967",CABA,2025-09-23,2025-09-23
2022,8,48612212,452928066,New,,LH,active,VILLA URQUIZA,-58.47751640000001,-34.5730917,"-34.5730917, -58.47751640000001",CABA,2025-09-23,2025-09-23
2022,8,48802583,1177812122,New,,LT,active,BELGRANO,-58.4555151,-34.5677223,"-34.5677223, -58.4555151",CABA,2025-09-23,2025-09-23
2022,8,48805558,548816952,New,,CA,active,PALERMO,-58.43314219999999,-34.5913572,"-34.5913572, -58.43314219999999",CABA,2025-09-23,2025-09-23
